predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,2,0,10,0,0,143,114,29,155
alter.01,1,0,12,0,0,84,49,35,97
begin.01,1,0,8,0,0,7,7,0,16
begin.02,1,0,9,0,0,55,55,0,65
block.01,1,0,12,0,0,79,45,34,92
catalyse.01,1,0,25,0,0,76,49,27,102
confer.01,0,1,15,0,0,77,71,6,93
decrease.01,1,0,26,0,0,53,51,2,80
decrease.02,1,0,6,0,0,11,11,0,18
delete.01,1,1,8,0,0,91,54,37,101
develop.01,2,0,76,0,0,17,17,0,95
Disrupt.01,3,0,13,0,0,73,25,48,89
eliminate.01,1,1,15,0,0,196,136,60,213
encode.01,0,1,11,0,0,84,50,34,96
express.01,1,0,8,0,0,100,93,7,109
generate.01,1,1,12,0,0,172,104,68,186
inhibit.01,1,0,18,0,0,131,110,21,150
Initiate.01,1,0,20,0,0,72,59,13,93
lead.01,0,1,8,0,0,136,51,85,145
lose.01,1,0,14,0,0,65,45,20,80
modify.01,1,0,46,0,0,40,11,29,87
Mutate.01,1,0,48,0,0,49,29,20,98
proliferate.01,1,0,19,0,0,82,77,5,102
recognize.01,1,1,10,0,0,157,117,40,169
result.01,1,0,13,0,0,82,18,64,96
Skip.01,1,0,46,0,0,42,26,16,89
splice.01,1,0,27,0,0,70,46,24,98
splice.02,1,0,24,0,0,74,66,8,99
Transcribe.01,0,1,27,0,0,57,32,25,85
transform.01,1,0,29,0,0,40,40,0,70
transform.02,1,0,7,0,0,22,15,7,30
translate.01,1,0,7,0,0,9,9,0,17
translate.02,1,0,8,0,0,11,11,0,20
translate.03,1,0,9,0,0,50,40,10,60
Truncate.01,2,0,50,0,0,45,18,27,97
