predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,11,7,85,73,30,976,646,330,1079
alter.01,10,4,154,92,76,704,256,448,872
begin.01,3,0,192,194,1,110,110,0,305
begin.02,3,0,245,248,0,1308,1308,0,1556
block.01,6,4,176,133,53,1109,665,444,1295
catalyse.01,5,0,125,108,22,348,261,87,478
confer.01,8,1,245,224,30,691,618,73,945
decrease.01,6,4,263,227,46,259,229,30,532
decrease.02,3,0,52,55,0,67,67,0,122
delete.01,17,3,83,72,31,754,450,304,857
develop.01,4,1,165,78,92,34,34,0,204
Disrupt.01,15,1,67,31,52,356,106,250,439
eliminate.01,12,4,91,84,23,599,393,206,706
encode.01,9,6,99,76,38,604,416,188,718
express.01,15,3,148,139,27,1306,1020,286,1472
generate.01,13,5,99,75,42,1276,783,493,1393
inhibit.01,11,5,157,134,39,1027,833,194,1200
Initiate.01,11,5,176,145,47,342,190,152,534
lead.01,18,6,108,68,64,1664,693,971,1796
lose.01,11,0,195,114,92,632,316,316,838
modify.01,3,3,241,96,151,129,43,86,376
Mutate.01,11,5,480,141,355,343,124,219,839
proliferate.01,10,0,173,168,15,329,292,37,512
recognize.01,14,5,77,72,24,895,671,224,991
result.01,14,5,312,87,244,1408,259,1149,1739
Skip.01,8,0,205,98,115,62,62,0,275
splice.01,12,0,279,216,75,453,219,234,744
splice.02,10,0,240,170,80,364,289,75,614
Transcribe.01,9,5,362,286,90,527,350,177,903
transform.01,3,0,140,143,0,190,190,0,333
transform.02,6,0,204,129,81,645,516,129,855
translate.01,6,2,238,164,82,300,300,0,546
translate.02,4,0,273,240,37,304,304,0,581
translate.03,7,0,281,213,75,984,656,328,1272
Truncate.01,12,3,295,114,196,208,52,156,518
SUM,320,87,6725,4707,2425,21307,13721,7586,28439
