predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,2,0,12,0,0,141,90,51,155
alter.01,0,1,17,0,0,79,25,54,97
begin.01,1,0,10,0,0,5,5,0,16
begin.02,1,0,10,0,0,54,54,0,65
block.01,1,0,12,0,0,79,54,25,92
catalyse.01,1,0,26,0,0,75,50,25,102
confer.01,1,0,24,0,0,68,63,5,93
decrease.01,1,0,39,0,0,40,37,3,80
decrease.02,1,0,7,0,0,10,10,0,18
delete.01,2,0,9,0,0,90,53,37,101
develop.01,2,0,76,0,0,17,17,0,95
Disrupt.01,3,0,13,0,0,73,20,53,89
eliminate.01,5,0,27,0,0,181,115,66,213
encode.01,1,1,13,0,0,81,48,33,96
express.01,1,0,10,0,0,98,80,18,109
generate.01,2,0,13,0,0,171,95,76,186
inhibit.01,2,0,19,0,0,129,107,22,150
Initiate.01,1,1,30,0,0,61,37,24,93
lead.01,1,0,8,0,0,136,54,82,145
lose.01,1,0,18,0,0,61,38,23,80
modify.01,1,0,55,0,0,31,11,20,87
Mutate.01,1,0,56,0,0,41,12,29,98
proliferate.01,1,0,34,0,0,67,59,8,102
recognize.01,2,1,13,0,0,153,121,32,169
result.01,0,1,17,0,0,78,14,64,96
Skip.01,2,0,66,0,0,21,21,0,89
splice.01,1,0,36,0,0,61,34,27,98
splice.02,1,0,38,0,0,60,45,15,99
Transcribe.01,1,0,34,0,0,50,37,13,85
transform.01,1,0,29,0,0,40,40,0,70
transform.02,1,0,7,0,0,22,16,6,30
translate.01,1,0,7,0,0,9,9,0,17
translate.02,1,0,9,0,0,10,10,0,20
translate.03,1,0,13,0,0,46,37,9,60
Truncate.01,2,0,55,0,0,40,14,26,97
SUM,47,5,862,0,0,2378,1532,846,3292
