predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,0,0,28,0,0,1239,813,426,1267
alter.01,0,0,48,0,0,1326,769,557,1374
begin.01,0,0,45,0,0,512,471,41,557
begin.02,0,0,91,0,0,3456,2423,1033,3547
block.01,0,0,49,0,0,2186,1285,901,2235
catalyse.01,0,0,27,0,0,837,603,234,864
confer.01,0,0,61,0,0,3657,2445,1212,3718
decrease.01,0,0,95,0,0,2525,2110,415,2620
decrease.02,0,0,11,0,0,67,42,25,78
delete.01,0,0,16,0,0,529,332,197,545
develop.01,0,0,43,0,0,184,149,35,227
Disrupt.01,0,0,19,0,0,453,187,266,472
eliminate.01,0,0,26,0,0,640,511,129,666
encode.01,0,0,24,0,0,560,290,270,584
express.01,0,0,46,0,0,1647,1363,284,1693
generate.01,0,0,24,0,0,1503,1269,234,1527
inhibit.01,0,0,55,0,0,1207,831,376,1262
Initiate.01,0,0,53,0,0,682,426,256,735
lead.01,0,0,33,0,0,1463,798,665,1496
lose.01,0,0,49,0,0,676,325,351,725
modify.01,0,0,61,0,0,144,60,84,205
Mutate.01,0,0,115,0,0,838,275,563,953
proliferate.01,0,0,41,0,0,581,345,236,622
recognize.01,0,0,22,0,0,596,397,199,618
result.01,0,0,123,0,0,4088,2102,1986,4211
Skip.01,0,0,64,0,0,1110,457,653,1174
splice.01,0,0,82,0,0,1193,883,310,1275
splice.02,0,0,76,0,0,714,495,219,790
Transcribe.01,0,0,99,0,0,1085,802,283,1184
transform.01,0,0,48,0,0,556,547,9,604
transform.02,0,0,58,0,0,1716,1658,58,1774
translate.01,0,0,75,0,0,815,746,69,890
translate.02,0,0,96,0,0,2637,2590,47,2733
translate.03,0,0,103,0,0,3545,2745,800,3648
Truncate.01,0,0,62,0,0,375,233,142,437
SUM,0,0,1968,0,0,45342,31777,13565,47310
