predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,0,0,159,0,0,0,0,0,159
alter.01,0,0,264,0,0,0,0,0,264
begin.01,0,0,258,0,0,0,0,0,258
begin.02,0,0,401,0,0,0,0,0,401
block.01,0,0,307,0,0,0,0,0,307
catalyse.01,0,0,208,0,0,0,0,0,208
confer.01,0,0,402,0,0,0,0,0,402
decrease.01,0,0,464,0,0,0,0,0,464
decrease.02,0,0,91,0,0,0,0,0,91
delete.01,0,0,154,0,0,0,0,0,154
develop.01,0,0,262,0,0,0,0,0,262
Disrupt.01,0,0,131,0,0,0,0,0,131
eliminate.01,0,0,166,0,0,0,0,0,166
encode.01,0,0,185,0,0,0,0,0,185
express.01,0,0,280,0,0,0,0,0,280
generate.01,0,0,190,0,0,0,0,0,190
inhibit.01,0,0,284,0,0,0,0,0,284
Initiate.01,0,0,316,0,0,0,0,0,316
lead.01,0,0,196,0,0,0,0,0,196
lose.01,0,0,319,0,0,0,0,0,319
modify.01,0,0,385,0,0,0,0,0,385
Mutate.01,0,0,710,0,0,0,0,0,710
proliferate.01,0,0,311,0,0,0,0,0,311
recognize.01,0,0,140,0,0,0,0,0,140
result.01,0,0,527,0,0,0,0,0,527
Skip.01,0,0,393,0,0,0,0,0,393
splice.01,0,0,494,0,0,0,0,0,494
splice.02,0,0,423,0,0,0,0,0,423
Transcribe.01,0,0,628,0,0,0,0,0,628
transform.01,0,0,252,0,0,0,0,0,252
transform.02,0,0,354,0,0,0,0,0,354
translate.01,0,0,420,0,0,0,0,0,420
translate.02,0,0,479,0,0,0,0,0,479
translate.03,0,0,498,0,0,0,0,0,498
Truncate.01,0,0,498,0,0,0,0,0,498
SUM,0,0,11549,0,0,0,0,0,11549
