predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,0,0,0,0,0,6967,4496,2471,6967
alter.01,0,0,0,0,0,7477,4086,3391,7477
begin.01,0,0,0,0,0,2908,2688,220,2908
begin.02,0,0,0,0,0,19531,10667,8864,19531
block.01,0,0,0,0,0,12263,6287,5976,12263
catalyse.01,0,0,0,0,0,4668,3382,1286,4668
confer.01,0,0,0,0,0,20488,10498,9990,20488
decrease.01,0,0,0,0,0,14285,11881,2404,14285
decrease.02,0,0,0,0,0,366,203,163,366
delete.01,0,0,0,0,0,2925,1959,966,2925
develop.01,0,0,0,0,0,1053,867,186,1053
Disrupt.01,0,0,0,0,0,2536,997,1539,2536
eliminate.01,0,0,0,0,0,3595,2883,712,3595
encode.01,0,0,0,0,0,3120,1555,1565,3120
express.01,0,0,0,0,0,9249,7437,1812,9249
generate.01,0,0,0,0,0,8396,7053,1343,8396
inhibit.01,0,0,0,0,0,6834,4646,2188,6834
Initiate.01,0,0,0,0,0,3853,2396,1457,3853
lead.01,0,0,0,0,0,8218,4182,4036,8218
lose.01,0,0,0,0,0,3793,1636,2157,3793
modify.01,0,0,0,0,0,830,334,496,830
Mutate.01,0,0,0,0,0,4744,1479,3265,4744
proliferate.01,0,0,0,0,0,3223,1861,1362,3223
recognize.01,0,0,0,0,0,3346,2301,1045,3346
result.01,0,0,0,0,0,23140,8800,14340,23140
Skip.01,0,0,0,0,0,6250,2425,3825,6250
splice.01,0,0,0,0,0,6726,4795,1931,6726
splice.02,0,0,0,0,0,4072,2671,1401,4072
Transcribe.01,0,0,0,0,0,6107,4323,1784,6107
transform.01,0,0,0,0,0,3172,3118,54,3172
transform.02,0,0,0,0,0,9641,9232,409,9641
translate.01,0,0,0,0,0,4632,4160,472,4632
translate.02,0,0,0,0,0,14903,14562,341,14903
translate.03,0,0,0,0,0,20013,13130,6883,20013
Truncate.01,0,0,0,0,0,2033,1237,796,2033
SUM,0,0,0,0,0,255357,164227,91130,255357
