predicate/type,pas,grec,egram,seed,archive,VE,per,rep,all
abolish.01,11,7,86,72,30,1146,858,288,1248
alter.01,10,4,154,92,75,1044,556,488,1211
begin.01,3,0,184,186,1,186,186,0,373
begin.02,3,0,245,248,0,1520,1520,0,1768
block.01,6,4,176,132,52,999,555,444,1183
catalyse.01,5,0,124,107,22,392,297,95,521
confer.01,8,1,245,223,30,1184,1111,73,1437
decrease.01,6,4,264,225,46,558,517,41,829
decrease.02,3,0,52,55,0,102,102,0,157
delete.01,17,3,86,71,31,804,467,337,906
develop.01,4,1,166,78,91,34,34,0,203
Disrupt.01,15,1,67,31,52,356,106,250,439
eliminate.01,13,4,93,85,22,1046,748,298,1153
encode.01,9,6,99,76,38,721,521,200,835
express.01,15,3,148,139,27,1571,1348,223,1737
generate.01,13,5,99,75,41,1355,875,480,1471
inhibit.01,11,5,160,133,39,1138,923,215,1310
Initiate.01,11,5,176,144,46,580,477,103,770
lead.01,18,6,110,68,64,1649,693,956,1781
lose.01,11,0,192,113,90,890,630,260,1093
modify.01,3,3,240,96,149,182,67,115,427
Mutate.01,11,5,479,138,353,474,316,158,965
proliferate.01,10,0,172,167,15,738,701,37,920
recognize.01,14,5,74,72,24,1206,922,284,1302
result.01,14,5,313,86,239,1869,412,1457,2194
Skip.01,8,0,205,98,115,176,100,76,389
splice.01,12,0,281,216,75,707,473,234,998
splice.02,10,0,240,169,79,727,634,93,975
Transcribe.01,9,5,368,287,90,764,461,303,1141
transform.01,3,0,140,143,0,225,225,0,368
transform.02,6,0,204,129,81,645,516,129,855
translate.01,6,2,232,163,76,304,302,2,543
translate.02,4,3,273,240,37,416,416,0,693
translate.03,7,0,280,212,75,1449,1025,424,1736
Truncate.01,12,0,295,114,196,260,104,156,570
SUM,321,87,6722,4683,2401,26859,18823,8036,33943
